Kind,Name,File,Cyclomatic,CountLineCodeExe
Static Function,"AllocCache",git\compat\nedmalloc\nedmalloc.c,6,16
Static Function,"ChkedTlsGetValue",git\compat\nedmalloc\nedmalloc.c,2,3
Struct,"DIR",git\compat\win32\dirent.c,,0
Static Function,"DestroyCaches",git\compat\nedmalloc\nedmalloc.c,5,10
Static Function,"FindMSpace",git\compat\nedmalloc\nedmalloc.c,11,28
Static Function,"GetMSpace",git\compat\nedmalloc\nedmalloc.c,3,4
Static Function,"GetThreadCache",git\compat\nedmalloc\nedmalloc.c,10,20
Static Function,"InitPool",git\compat\nedmalloc\nedmalloc.c,10,21
Static Function,"IsSocketHandle",git\compat\poll\poll.c,2,5
Static Function,"Q_",git\gettext.h,2,3
Static Function,"ReleaseFreeInCache",git\compat\nedmalloc\nedmalloc.c,2,4
Static Function,"RemoveCacheEntries",git\compat\nedmalloc\nedmalloc.c,8,17
Static Function,"_",git\gettext.h,3,3
Struct,"_CREDENTIALW",git\contrib\credential\wincred\git-credential-wincred.c,,0
Struct,"_CREDENTIAL_ATTRIBUTEW",git\contrib\credential\wincred\git-credential-wincred.c,,0
Struct,"_FILE_PIPE_LOCAL_INFORMATION",git\compat\poll\poll.c,,0
Struct,"_IO_STATUS_BLOCK",git\compat\poll\poll.c,,0
Static Function,"__strchrnul",git\compat\fnmatch\fnmatch.c,2,4
Function,"_obstack_allocated_p",git\compat\obstack.c,2,5
Function,"_obstack_begin",git\compat\obstack.c,7,23
Function,"_obstack_begin_1",git\compat\obstack.c,7,24
Struct,"_obstack_chunk",git\compat\obstack.h,,0
Function,"_obstack_memory_used",git\compat\obstack.c,2,4
Function,"_obstack_newchunk",git\compat\obstack.c,14,32
Struct,"_utimbuf",git\compat\vcbuild\include\sys\utime.h,,0
Static Function,"abbrev_ref",git\builtin\remote.c,2,4
Static Function,"abort_commit",git\builtin\merge.c,2,6
Function,"abort_http_object_request",git\http.c,1,2
Static Function,"abort_object_request",git\http-walker.c,1,1
Function,"absolute_path",git\abspath.c,7,14
File,"abspath.c",git\abspath.c,,112
Static Function,"access_error_is_ok",git\wrapper.c,1,2
Function,"access_or_die",git\wrapper.c,2,4
Function,"access_or_warn",git\wrapper.c,2,4
Static Function,"acquire_init_state_context",git\compat\regex\regexec.c,7,19
Static Function,"acquire_packed_ref_cache",git\refs.c,1,1
Static Function,"action_name",git\sequencer.c,2,1
Static Function,"action_name",git\builtin\revert.c,2,1
Struct,"active_request_slot",git\http.h,,0
Static Function,"add",git\builtin\notes.c,10,51
Static Function,"add",git\builtin\remote.c,19,73
File,"add.c",git\builtin\add.c,,316
Static Function,"add_again",git\pretty.c,2,5
Static Function,"add_blame_entry",git\builtin\blame.c,4,13
Static Function,"add_branch",git\builtin\remote.c,2,9
Static Function,"add_branch_desc",git\builtin\fmt-merge-msg.c,5,12
Static Function,"add_branch_description",git\builtin\log.c,3,8
Static Function,"add_branch_for_removal",git\builtin\remote.c,7,21
Static Function,"add_branches",git\builtin\remote.c,3,9
Static Function,"add_cache_refs",git\reachable.c,4,7
Static Function,"add_cache_tree",git\reachable.c,3,4
Static Function,"add_cacheinfo",git\builtin\update-index.c,6,19
Static Function,"add_cacheinfo",git\merge-recursive.c,3,4
Static Function,"add_cas_entry",git\remote.c,4,5
Static Function,"add_child",git\daemon.c,3,9
Static Function,"add_child",git\revision.c,1,3
Static Function,"add_cmd_list",git\help.c,5,6
Function,"add_cmdname",git\help.c,4,6
Static Function,"add_commit",git\patch-ids.c,7,24
Static Function,"add_commit_info",git\reflog-walk.c,2,8
Function,"add_commit_patch_id",git\patch-ids.c,1,1
Static Function,"add_config",git\builtin\add.c,2,5
Static Function,"add_conflicted_stages_file",git\builtin\apply.c,6,17
Function,"add_decoration",git\decorate.c,2,4
Static Function,"add_delta_base_cache",git\sha1_file.c,4,26
Static Function,"add_delta_to_list",git\builtin\unpack-objects.c,1,8
Static Function,"add_descendants_to_write_order",git\builtin\pack-objects.c,8,20
Static Function,"add_dir_entry",git\name-hash.c,2,3
Static Function,"add_domainname",git\ident.c,4,10
Static Function,"add_entry",git\unpack-trees.c,1,1
Static Function,"add_entry",git\string-list.c,6,17
Static Function,"add_entry_to_dir",git\refs.c,5,7
Static Function,"add_epsilon_src_nodes",git\compat\regex\regexec.c,6,15
Function,"add_exclude",git\dir.c,5,19
Function,"add_exclude_list",git\dir.c,4,6
Function,"add_excludes_from_file",git\dir.c,2,3
Function,"add_excludes_from_file_to_list",git\dir.c,12,39
Static Function,"add_existing",git\builtin\show-ref.c,1,3
Static Function,"add_existing",git\builtin\fetch.c,1,5
Static Function,"add_extra_have",git\connect.c,4,3
Static Function,"add_extra_header",git\commit.c,2,5
Static Function,"add_family_to_write_order",git\builtin\pack-objects.c,2,2
Static Function,"add_fetch_refspec",git\remote.c,4,2
Static Function,"add_fetch_request",git\http-push.c,3,14
Function,"add_file_to_index",git\read-cache.c,2,3
Static Function,"add_files",git\builtin\add.c,6,13
Function,"add_files_to_cache",git\builtin\add.c,1,4
Static Function,"add_graft_decoration",git\log-tree.c,2,5
Static Function,"add_grep",git\revision.c,1,1
Function,"add_head_to_pending",git\revision.c,3,6
Static Function,"add_header",git\builtin\log.c,4,12
Static Function,"add_header_grep",git\revision.c,1,1
Function,"add_index_entry",git\read-cache.c,5,19
Static Function,"add_index_entry_with_check",git\read-cache.c,10,28
Static Function,"add_index_file",git\builtin\apply.c,8,23
Static Function,"add_info_ref",git\server-info.c,4,10
Static Function,"add_instead_of",git\remote.c,4,4
Static Function,"add_internet_password",git\contrib\credential\osxkeychain\git-credential-osxkeychain.c,7,7
Static Function,"add_known_remote",git\builtin\remote.c,2,8
Static Function,"add_line_info",git\builtin\apply.c,4,5
Static Function,"add_line_range",git\line-log.c,4,10
Static Function,"add_lines",git\strbuf.c,4,9
Static Function,"add_local_to_show_info",git\builtin\remote.c,4,13
Static Function,"add_mailname_host",git\ident.c,5,18
Static Function,"add_man_viewer",git\builtin\help.c,2,6
Static Function,"add_man_viewer_cmd",git\builtin\help.c,2,7
Static Function,"add_man_viewer_info",git\builtin\help.c,6,11
Static Function,"add_man_viewer_path",git\builtin\help.c,2,7
Static Function,"add_mapping",git\mailmap.c,8,33
Static Function,"add_merge",git\remote.c,4,2
Static Function,"add_merge_config",git\builtin\fetch.c,6,13
Static Function,"add_merge_entry",git\builtin\merge-tree.c,1,2
Static Function,"add_merge_info",git\pretty.c,5,15
Static Function,"add_merge_parent",git\builtin\fmt-merge-msg.c,5,7
Static Function,"add_message_grep",git\revision.c,1,1
Static Function,"add_missing_tags",git\remote.c,13,38
Static Function,"add_name_decoration",git\log-tree.c,1,5
Function,"add_name_hash",git\name-hash.c,3,5
Static Function,"add_name_limit",git\builtin\apply.c,2,2
Static Function,"add_non_note",git\notes.c,6,28
Function,"add_note",git\notes.c,3,10
Function,"add_object",git\revision.c,1,3
Function,"add_object_array",git\object.c,1,1
Function,"add_object_array_with_context",git\object.c,2,4
Function,"add_object_array_with_mode",git\object.c,1,1
Static Function,"add_object_array_with_mode_context",git\object.c,4,19
Static Function,"add_object_buffer",git\builtin\unpack-objects.c,2,5
Static Function,"add_object_entry",git\builtin\pack-objects.c,20,54
Static Function,"add_objects_in_unpacked_packs",git\builtin\pack-objects.c,11,20
Static Function,"add_one_object",git\http-push.c,1,5
Static Function,"add_one_path",git\builtin\update-index.c,7,18
Static Function,"add_one_ref",git\reachable.c,1,4
Static Function,"add_one_reference",git\builtin\clone.c,5,20
Static Function,"add_one_reflog",git\reachable.c,1,2
Static Function,"add_one_reflog_ent",git\reachable.c,3,8
Static Function,"add_one_tree",git\reachable.c,2,3
Static Function,"add_options_to_argv",git\builtin\fetch.c,13,24
Static Function,"add_pack",git\builtin\pack-redundant.c,7,18
Static Function,"add_pack_file",git\builtin\pack-redundant.c,4,8
Function,"add_packed_git",git\sha1_file.c,6,22
Function,"add_packed_ref",git\refs.c,2,6
Static Function,"add_parents_only",git\revision.c,9,24
Static Function,"add_parents_to_list",git\revision.c,15,37
Static Function,"add_path",git\exec_cmd.c,3,6
Function,"add_pathspec_matches_against_index",git\pathspec.c,5,9
Static Function,"add_pbase_object",git\builtin\pack-objects.c,9,23
Static Function,"add_pending_commit",git\builtin\log.c,3,7
Static Function,"add_pending_commit_list",git\revision.c,2,5
Function,"add_pending_object",git\revision.c,1,1
Static Function,"add_pending_object_with_mode",git\revision.c,7,16
Function,"add_pending_sha1",git\revision.c,1,2
Static Function,"add_pending_tree",git\list-objects.c,1,1
Static Function,"add_pending_uninteresting_ref",git\builtin\checkout.c,1,2
Static Function,"add_people_count",git\builtin\fmt-merge-msg.c,4,12
Static Function,"add_people_info",git\builtin\fmt-merge-msg.c,3,10
Static Function,"add_preferred_base",git\builtin\pack-objects.c,5,15
Static Function,"add_preferred_base_object",git\builtin\pack-objects.c,4,10
Static Function,"add_prefix",git\builtin\blame.c,2,1
Static Function,"add_push_refspec",git\remote.c,4,2
Static Function,"add_push_to_show_info",git\builtin\remote.c,3,9
Static Function,"add_pushurl",git\remote.c,4,2
Static Function,"add_pushurl_alias",git\remote.c,2,3
Static Function,"add_ref",git\refs.c,2,5
Static Function,"add_ref_decoration",git\log-tree.c,14,33
Static Function,"add_ref_tag",git\builtin\pack-objects.c,2,5
Function,"add_reflog_for_walk",git\reflog-walk.c,13,53
Static Function,"add_refspec",git\builtin\push.c,4,3
Static Function,"add_rejected_path",git\unpack-trees.c,3,4
Static Function,"add_remote_info_ref",git\http-push.c,5,33
Static Function,"add_remote_or_group",git\builtin\fetch.c,3,9
Static Function,"add_remote_to_show_info",git\builtin\remote.c,2,6
Static Function,"add_remove_files",git\builtin\commit.c,5,9
Static Function,"add_repack_all_option",git\builtin\gc.c,3,6
Static Function,"add_rev_cmdline",git\revision.c,4,8
Static Function,"add_rev_cmdline_list",git\revision.c,2,5
Static Function,"add_rfc2047",git\pretty.c,6,18
Static Function,"add_rfc822_quoted",git\pretty.c,4,10
Static Function,"add_same_unmerged",git\unpack-trees.c,4,12
Static Function,"add_segment",git\compat\nedmalloc\malloc.c.h,22,36
Static Function,"add_send_request",git\http-push.c,4,19
Static Function,"add_sha1_list",git\builtin\fsck.c,2,9
Static Function,"add_sha1_to_argv",git\submodule.c,1,1
Static Function,"add_sha1_to_array",git\submodule.c,1,2
Static Function,"add_slash",git\builtin\mv.c,2,8
Static Function,"add_sought_entry",git\builtin\fetch-pack.c,1,1
Static Function,"add_sought_entry_mem",git\builtin\fetch-pack.c,4,6
Static Function,"add_spanhash",git\diffcore-delta.c,6,16
Static Function,"add_strategies",git\builtin\merge.c,5,11
Static Function,"add_submodule_odb",git\submodule.c,5,28
Function,"add_to_alternates_file",git\sha1_file.c,3,8
Static Function,"add_to_fn_table",git\builtin\apply.c,3,6
Function,"add_to_index",git\read-cache.c,21,64
Static Function,"add_to_known_names",git\builtin\describe.c,4,19
Static Function,"add_to_ref_list",git\bundle.c,2,7
Static Function,"add_to_tip_table",git\builtin\name-rev.c,4,6
Static Function,"add_to_tips",git\remote.c,6,8
Static Function,"add_to_write_order",git\builtin\pack-objects.c,2,4
Static Function,"add_url",git\remote.c,4,2
Static Function,"add_url_alias",git\remote.c,1,2
Static Function,"add_verbose_info",git\builtin\branch.c,3,13
Static Function,"add_work",git\builtin\grep.c,3,11
Static Function,"add_wrapped_shortlog_msg",git\builtin\shortlog.c,1,2
Static Function,"added_object",git\builtin\unpack-objects.c,3,11
Static Function,"addrcmp",git\daemon.c,4,13
Static Function,"adjust_hunk_tail",git\combine-diff.c,2,3
Function,"adjust_shared_perm",git\path.c,5,12
File,"advice.c",git\advice.c,,70
File,"advice.h",git\advice.h,,0
Function,"advise",git\advice.c,3,10
Static Function,"advise_checkout_pull_push",git\builtin\push.c,2,3
Static Function,"advise_pull_before_push",git\builtin\push.c,2,3
Static Function,"advise_ref_already_exists",git\builtin\push.c,2,3
Static Function,"advise_ref_fetch_first",git\builtin\push.c,2,3
